Date,leveled log Nasdaq,leveled log S&P,leveled log Russell,leveled log DJIA,leveled log Gold,leveled log 1yr Treasury,leveled log 10yr Bond
1/2/1990,-0.338628663,-0.231399457,-0.117192495,-0.252509383,0.574281063,-0.467695036,-0.117886725
1/3/1990,-0.320985048,-0.213957445,-0.107736844,-0.229266709,0.5605715,-0.461986468,-0.11140924
1/4/1990,-0.322804336,-0.216746331,-0.103223827,-0.233058713,0.556859175,-0.465215445,-0.112461589
1/5/1990,-0.328549193,-0.225596629,-0.107572315,-0.239614889,0.572260056,-0.46845914,-0.11100924
1/8/1990,-0.330597802,-0.23560077,-0.110344638,-0.248987433,0.578295875,-0.465295036,-0.107061578
1/9/1990,-0.326314129,-0.231183465,-0.111411154,-0.238071441,0.575391868,-0.468543662,-0.106861578
1/10/1990,-0.335582812,-0.243353164,-0.113068658,-0.25089902,0.582883633,-0.469229836,-0.105415472
1/11/1990,-0.343381731,-0.250182253,-0.121552816,-0.248729427,0.601378426,-0.468629836,-0.103970917
1/12/1990,-0.363807633,-0.246875693,-0.121316956,-0.26465943,0.601924399,-0.469317666,-0.096335938
1/15/1990,-0.374324545,-0.272060307,-0.143580046,-0.279640305,0.605001151,-0.458461166,-0.089982073
1/16/1990,-0.386793259,-0.28091707,-0.152617953,-0.293792205,0.604580748,-0.447708794,-0.083665846
1/17/1990,-0.369689555,-0.269992269,-0.150649777,-0.276352007,0.593019505,-0.448372218,-0.084686102
1/18/1990,-0.379799119,-0.280130848,-0.14978701,-0.296575673,0.599999323,-0.430227909,-0.068737745
1/19/1990,-0.370289555,-0.277992126,-0.154561814,-0.281634647,0.592419505,-0.435858458,-0.075775412
1/22/1990,-0.372407297,-0.275386954,-0.149958924,-0.284736816,0.587481391,-0.437761589,-0.074365491
1/23/1990,-0.389217674,-0.301756478,-0.165226454,-0.305210846,0.586936682,-0.438415507,-0.075375412
1/24/1990,-0.419083427,-0.298240466,-0.170004637,-0.333234104,0.599161927,-0.434058458,-0.060752086
1/25/1990,-0.399576143,-0.302519747,-0.184429609,-0.307186204,0.607045869,-0.429715472,-0.055790172
1/26/1990,-0.40949493,-0.315426595,-0.185931583,-0.328369732,0.611409555,-0.424146518,-0.047311
1/29/1990,-0.413100774,-0.316516341,-0.195005178,-0.328053116,0.615038833,-0.422308127,-0.045933837
1/30/1990,-0.429134057,-0.318559585,-0.205897535,-0.329938297,0.607702849,-0.420471269,-0.044558057
1/31/1990,-0.439091302,-0.325609564,-0.221414346,-0.3312078,0.606804298,-0.421108127,-0.053803228
2/1/1990,-0.428293538,-0.307099157,-0.217398902,-0.316989707,0.596152737,-0.419271269,-0.054790172
2/2/1990,-0.42380655,-0.308180724,-0.210547714,-0.321988182,0.605725198,-0.413739076,-0.045133837
2/5/1990,-0.41436427,-0.301923306,-0.200343993,-0.315594822,0.608774083,-0.410682073,-0.041410638
2/6/1990,-0.409710831,-0.299316922,-0.197635695,-0.308558377,0.614782501,-0.410082073,-0.036532267
2/7/1990,-0.417094686,-0.306138168,-0.195255084,-0.318621494,0.610916588,-0.407031091,-0.042183659
